name,moneycontrol_id
DSP Equity Opportunities - Direct (G),dsp-equity-opportunities-direct/MDS580
Principal Emer-Bluechip -Direct (G),principal-emer-bluechip-direct/MID302
L&T Large and Midcap Fund - D (G),l-t-large-and-midcap-fund-d/MCC291
DSP Equity Opportunities - Reg (G),dsp-equity-opportunities-reg/MDS011
L&T Large and Midcap (G),l-t-large-and-midcap/MFF007
Principal Emerging Bluechip(G),principal-emerging-bluechip/MID221
ABSL Equity Advantage Fund - D (G),absl-equity-advantage-fund-d/MBS807
BOI Large & Mid Cap Equity - D (G),boi-large-mid-cap-equity-d/MBA064
ABSL Equity Advantage Fund (G),absl-equity-advantage-fund/MBS022
BOI Large & Mid Cap Equity-E (G),boi-large-mid-cap-equity-e/MBA028
BOI Large & Mid Cap Equity - R (G),boi-large-mid-cap-equity-r/MBA025
Reliance Vision Fund - RP (G),reliance-vision-fund-rp/MRC001
Reliance Vision Fund - Direct (D),reliance-vision-fund-direct/MRC945
Axis Mid Cap Fund - Direct (G),axis-mid-cap-fund-direct/MAA194
Axis Mid Cap Fund (G),axis-mid-cap-fund/MAA099
Invesco India Midcap - D (G),invesco-india-midcap-d/MLI556
Invesco India Midcap (G),invesco-india-midcap/MLI021
Taurus Discovery (Midcap) - D (G),taurus-discovery-midcap-d/MCM132
Taurus Discovery (Midcap) (G),taurus-discovery-midcap-/MCM041
Franklin (I) Prima - Direct (G),franklin-i-prima-direct/MTE317
Franklin India Prima Fund (G),franklin-india-prima-fund/MKP002
DSP Mid Cap - Direct (G),dsp-mid-cap-direct/MDS574
ICICI Pru Midcap Fund - D (G),icici-pru-midcap-fund-d/MPI1150
Reliance Growth Fund -Direct (G),reliance-growth-fund-direct/MRC919
HDFC MidCap Opport.- Direct (G),hdfc-midcap-opport-direct/MHD1161
DSP Mid Cap - Regular (G),dsp-mid-cap-regular/MDS056
Reliance Growth Fund - RP (G),reliance-growth-fund-rp/MRC008
Kotak Emerging Equity - D (G),kotak-emerging-equity-d/MKM528
ICICI Pru Midcap Fund (G),icici-pru-midcap-fund/MPI089
L&T  Midcap Fund -Direct (G),l-t-midcap-fund-direct/MCC275
IDBI Midcap Fund - DP (G),idbi-midcap-fund-dp/MIB230
HDFC MidCap Opportunities (G),hdfc-midcap-opportunities/MHD068
Kotak Emerging Equity (G),kotak-emerging-equity/MKM099
L&T  Midcap Fund (G),l-t-midcap-fund/MCC037
Tata Mid Cap Growth - Direct (G),tata-mid-cap-growth-direct/MTA776
Motilal Oswal Midcap 30 - D (G),motilal-oswal-midcap-30-d/MMO027
DHFL Pramerica Midcap Opp Fund-DP (G),dhfl-pramerica-midcap-opp-fund-dp/MPA139
Tata Mid Cap Growth Fund (G),tata-mid-cap-growth-fund/MTA122
